"area_code","power_market","load_center","transient_grid_flag","grid_no","proposed_grid_no","province","division","district","area","sub_area","area_type","year","consumer_type","name_of_area","name_of_substation","domestic","commercial","public_light","small_industry","public_tube_well","bulk_energy","bulk_demand","medium_large_industry_energy","medium_large_industry_demand","domestic_load_factor","commercial_load_factor","small_industry_load_factor","public_tube_well_load_factor","small_industry_coincidence_factor","public_tube_well_coincidence_factor"
2,1,3,0,469,0,3,4,2,1,1,1,0,3,"Gujrat","GUJRAT-2",183410651,27718540,213289,3369903,2137185,4945720,2052,24001280,9166,43,34,20,0,0,0
2,1,3,0,509,0,3,4,1,1,1,2,0,3,"Gujranwala","EIMIN ABAD",73020315,4231812,0,2928356,13686169,0,0,126777908,52000,72,66,0,0,0,0
2,1,3,0,510,0,3,4,6,3,1,3,0,3,"KOTLILOHARAN","KOTLILOHARAN",40749585,2800058,0,1124376,907013,0,0,458289,746,41,34,0,0,0,0
2,1,3,0,511,0,3,4,6,1,1,1,0,3,"Sialkot","SIALKOT CANT",192587936,38754217,1262518,7315487,4758884,29933780,8479,10727924,7073,45,44,32,30,0,0
2,1,3,0,585,0,3,4,4,2,1,1,0,3,"MANDI(MBD)","GEPCO 132KV-HEAD FAQ",32467077,1497791,0,711722,515088,65000,18,1905537,944,36,33,30,30,0,0
2,1,3,0,591,0,3,4,4,3,1,3,0,3,"HEAD RASOOL","HEAD RASOOL",352148,2339,0,13665,0,0,0,0,0,25,13,0,20,0,0
2,1,3,0,600,0,3,4,6,1,1,1,0,3,"Daska","DASKA INDUST",51532658,3770891,0,2049337,3780246,0,0,150348977,60538,36,29,0,0,0,0
2,1,3,0,623,0,3,4,2,2,1,2,0,3,"MANGOWAL","MANGOWAL",95149924,6262937,8741,1494055,7459133,0,0,7953510,6483,40,24,30,0,0,0
2,1,3,0,632,0,3,4,4,1,1,3,0,3,"MANDI(MBD)","MANDI(MBD)",155002334,19916686,126335,3153990,4387094,885840,675,10259543,8325,38,33,40,50,0,0
2,1,3,0,644,0,3,4,2,2,1,2,0,3,"DINGA","DINGA",63276748,6796605,23631,651929,527290,0,0,1034421,1239,32,28,40,0,0,0
2,1,3,0,670,0,3,4,2,2,1,3,0,3,"Gujrat","GEPCO 66KV--SHADIWAL",188408,0,0,0,0,0,0,0,0,50,20,0,0,0,0
2,1,3,0,698,0,3,4,6,3,1,3,0,3,"KOT AGHA","KOT AGHA",49815364,2613793,0,1187148,338906,0,0,2122592,1878,38,21,40,0,0,0
2,1,3,0,725,0,3,4,1,1,1,1,0,3,"LAHORE ROAD","Lahore Road Grw",56352937,22325231,244324,8283081,3453598,32384000,11680,192147174,57865,68,68,80,80,50,50
2,1,3,0,738,0,3,4,3,2,1,2,0,3,"JALAL PUR NAU","JALALPUR BHATT",39737136,2925688,42226,1473167,33666044,0,0,23608720,10821,52,38,0,15,0,0
2,1,3,0,802,0,3,4,5,1,1,2,0,3,"SHAKAR GARH","SHAKAR GARH",183872248,11062313,58797,3331992,1325878,55575,27,792519,837,33,25,30,40,0,0
2,1,3,0,813,0,3,4,6,2,1,2,0,3,"SAHOWALA","SIALKOT",71349003,6398477,0,4454156,1456656,79080,31,21411580,10429,65,58,40,30,0,0
2,1,3,0,814,0,3,4,1,1,1,1,0,3,"Gujranwala","HAFIZABAD ROAD",62714745,3681698,0,41448000,3303175,0,0,85151595,31165,23,20,40,40,0,0
2,1,3,0,823,0,3,4,6,2,1,3,0,3,"CHAVINDA","Lalapur",102331407,4840093,15105,1853054,4623580,73449,172,1825302,1483,33,24,60,30,0,0
2,1,3,0,902,0,3,4,1,1,1,1,0,3,"Noshera Virkan","SHEIKHUPURA IND",13830668,468883,0,345492,6100370,0,0,510912,461,42,30,30,30,0,0
2,1,3,0,917,0,3,4,5,2,1,3,0,3,"BADOMAL","BADOMALI",26874915,1227921,0,621165,1507663,5156,44,2149064,2590,46,35,0,0,0,0
2,1,3,0,954,0,3,4,1,1,1,2,0,3,"Gujranwala","CANTT GUJRANWA",96331423,16573306,1226271,6626744,2939685,13319560,3946,81071750,33657,65,52,60,50,0,0
2,1,3,0,969,0,3,4,6,2,1,3,0,3,"Sialkot","GHUINKE",73164440,7292554,40429,3261322,3606984,132775,150,27136661,14435,45,32,10,0,0,0
2,1,3,0,974,0,3,4,1,1,1,1,0,3,"Gujranwala","AROOP",40356102,2802032,61416,4328930,1778066,971080,390,154534960,43380,42,33,40,35,0,0
2,1,3,0,1080,0,3,4,4,2,1,1,0,3,"MANDI(MBD)","PHALIA",74854060,7526211,755,1468463,5994019,0,0,7955814,6234,41,35,40,35,0,0
2,1,3,0,1081,0,3,4,2,2,1,2,0,3,"Gujrat","G.T Road Grt",49156127,6920079,153842,8023705,758788,0,0,42649471,16554,65,45,65,55,0,0
2,1,3,0,1082,0,3,4,1,1,1,2,0,3,"Gujranwala","CHIANWALI",17937143,3020623,0,751501,1297860,0,0,137483570,36886,77,79,0,0,0,0
2,1,3,0,1086,0,3,4,3,1,1,2,0,3,"HAFIZABAD","HAFIZABAD II",50517442,5685963,160966,11887381,10062957,421460,100,9669771,3946,58,52,0,15,0,0
2,1,3,0,1088,0,3,4,2,2,1,3,0,3,"Gujrat","AWAN SHARIF",47242554,2381829,0,507951,142835,37894486,6665,474543,407,35,16,0,0,0,0
2,1,3,0,1094,0,3,4,6,1,1,1,0,3,"Sialkot","OLD POWER HOUS",44219845,13141541,296620,3558429,6586,221380,78,4267899,2182,40,36,11,0,0,0
2,1,3,0,1102,0,3,4,6,1,1,1,0,3,"Sialkot","NEW DASKA",80601883,8861205,40669,5886507,3804593,0,0,5332510,3920,35,29,25,23,0,0
2,1,3,0,1119,0,3,4,1,1,1,1,0,3,"Gujranwala","SHERAN WALA BA",64803051,18696351,151717,19181222,5436,0,0,26987903,15217,46,39,35,0,0,0
2,1,3,0,1122,0,3,4,1,1,1,1,0,3,"Gujranwala","132 KV KHIALI",53730046,7174106,0,14857283,113907,0,0,52931620,17882,51,47,25,0,0,0
2,1,3,0,1155,0,3,4,4,2,1,1,0,3,"MANDI(MBD)","66KV-G/S RASOOL",16332622,590887,0,102402,1490099,0,0,418320,150,29,25,0,0,0,0
2,1,3,0,1159,0,3,4,6,1,1,1,0,3,"Sialkot","GOHDPUR",37835276,3459445,0,2390400,112626,0,0,3237354,2512,37,33,30,0,0,0
2,1,3,0,9444,0,3,4,1,1,1,2,0,3,"Gujranwala","GRW Small Ind. Estat",0,0,0,0,0,0,0,0,0,65,52,60,50,0,0
2,1,3,0,9555,0,3,4,1,1,1,2,0,3,"WAZIR ABAD","Small Ind. Estate WZ",0,0,0,0,0,0,0,0,0,68,52,0,0,0,0
2,1,3,0,9666,0,3,4,6,1,1,1,0,3,"Sialkot","Tanner Zone",0,0,0,0,0,0,0,0,0,62,48,0,0,0,0
